Organism	Listeria monocytogenes								
Outbreak	1408MLGX6-3WGS								
pmid									
tree	http://api.opentreeoflife.org/v2/study/ot_301/tree/tree2.tre
source	Lee Katz								
dataType	empirical								
									
biosample_acc	strain	genBankAssembly	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumRead1	sha256sumRead2
SAMN03002783	CFSAN023463	CP012021	SRR1556288	1408MLGX6-3WGS	1408MLGX6-3WGS	TRUE	d531614e1b1ba70261a6840d0ca422df90a963d6b9b696d635b8bbcc05cc07af	1540a600a617634e9e8bede6b9c4b41a57756186ab62178b2507e8090cb8ad2b	e1560a8800930276c68b155ca0eec46a3dc9bd45533abe037eb9813f36c75b45
SAMN03002784	CFSAN023464		SRR1556294	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		851064acdd0fa750fbfdf8b7370b8ee8968ac7eee8fe28220e99397def91fad7	0efd95ce1e936dd239922f5f90081b6a4ecdf56f238229159446c40b64ec42dc
SAMN03002785	CFSAN023465		SRR1556293	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		15e122d14b8254173da26748ce10dd3b975956f853baf1487b5abd07e34af1ae	4b7c11548c9b634e096adfd566eff1a57452bfe1283ea4c87aaf33342094308c
SAMN03002786	CFSAN023466		SRR1556289	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		8599e37dcfa4300e51cd60d21b9111306c6d1a0d25338ffe6cfa8406c958954d	01edf3fbf763f7b29e11c7ba82577c6582baa28d71bca929f8986f6d9e670e64
SAMN03002787	CFSAN023467		SRR1556296	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		cff5089077fcad2612b06b1e04c3970fea559f1e17d1a31b6ae9ebc88100deba	2e0fc66405ba7b64b7655d1c93d29dc8bf27d48e207c280867594d84cbf1f187
SAMN03002788	CFSAN023468		SRR1556290	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		977eca15028a86972d45959801f37e06bcd9c4d737493bb22d2cff2ca5c0d4d2	ecc5ddc76ed9c2fa4e11dd5c658772e9708d66667a40efb31225b56e3818bb8f
SAMN03002789	CFSAN023469		SRR1556291	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		6b22011d9a93fcbeea1cf46582c25ddbe0320e15a95a20cefb6b883118df0cc4	a4bcd49b45d7ad5295bbe097874526ff2813bdd2d8f07a1f4738a4f06d320f47
SAMN03002790	CFSAN023470		SRR1556297	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		e9fec1f1979bd2af0059b8b65b59c1ae98cfdd051aaf3915075167d708c29bff	5929e36fbfc58de4d358b1bb9adca26c27d12c78faca198e69bcc7fc868c1869
SAMN03002791	CFSAN023471		SRR1556295	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		0b06c23ef4414922849dc2396bc79c82f445cb3b2c62e720dff98d6ceddb9bdd	04a0259ca637ee56e1f0f05253004a37a24ca79e87457e91b71ed9f65a895db0
SAMN02990454	MOD1_LS1004		SRR1553826	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		7e5089166eb3b93a80963df206f75d2c0739bdf318f3a13a89eaf01533c202a7	94e9da477bfa6c02ca22ed7fcc239c8fae93c363a6ca9eeffcfa69d7b88e1487
SAMN02990455	MOD1_LS1006		SRR1553773	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		99a8e4b8bee42f25ed66ff1f0a6fc831686fde224ea33321939e43ba1f2f8dc8	20e55ffe8f6f1416b5021e8cda79b2c55396f3b33772cceaad8c5ebc6417dffe
SAMN02990456	MOD1_LS1010		SRR1553821	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		db7b609d66e9a253f4ad54fcc4f62b578562f4368dca56658ecae14effd7811c	7537f0e461d1efdff1f3f15d31cf05b1073d593685103e26e3a56bb44da54d73
SAMN02991375	MOD1_LS982		SRR1553739	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		2f86cc8493724942d76df798e353828942b2f2c7c1cf069234823d213825ee56	e0fa60829e6ec443ff680059bbc1edf21223cdb265318d63524d05e82fbbd5ac
SAMN02991377	MOD1_LS985		SRR1553882	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		0835e4c50fd4b23dc8b7cc2bd57862d83ad6d07c216923e548cf7f86bdd74d4b	0a3528a4e2aa3a2aade719858ef702dbba459b1c7a7bd49d7c504cd20f2b1b71
SAMN02991378	MOD1_LS989		SRR1553856	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		971027fb25f15dbfba5c8033afe0876065e9a9c2a2df868c80e4e9d6ebdfdc7f	a3437b7c129affd4d9a2bc18990a1e2f8c1a7b446856dca87eb61afc29b5a1ec
SAMN02991381	MOD1_LS994		SRR1553791	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		66095b1a6aefce03fccdcb0f189275ac81034dec93516363331aabf277b0b7b2	cd27f22e033916b64b14ccce9432bbf9bd6356ccf6db7546a29932f8d41cbe8d
SAMN02991382	MOD1_LS995		SRR1553816	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		8acda8ca5472afae4de08f428bf03bc8cbb432218cbe70eeed57d2d194ad7173	5cab244a209484464d815e66e35bc351fa0f1df7d60f3d316c883f980b2b0a02
SAMN02991383	MOD1_LS996		SRR1553756	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		5bc7e3a960214af95defb5f394694b5d3d9a6d78ada650f0080089b83990cc57	197530bf9091c71fb25fffb065035ccef04325380c4ebe3bd176cc9e1a79f1a8
SAMN02991384	MOD1_LS997		SRR1553788	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		81a89038975b6dd892a69f279d9aea0f0fac1fa15598b8bca7d7555ff874bbe5	808b4c08ecc83acf91e6876d3f85f8c9a7248f50412de8338dcfaa34b659d86b
SAMN02991385	MOD1_LS998		SRR1553804	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		9da7c52e8c519a516fd02ee25c9c70160863f5705de221e53039c387d3ebc978	3d5fecc0b8b00133e2991adfe59f1c56e0e1cddd9cc82dc5a33f6c4076db4375
SAMN02991386	MOD1_LS1000		SRR1553907	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		6683ea50c9d03795dedfeb6195bd320331345780da296a6a06c973de19565698	4dfe0c507369971ab806f380286d98f92950d268b8479c420181efd14aa50932
SAMN02991389	MOD1_LS1003		SRR1553792	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		63ec4512f73e24b45b1ad435b6ab4ea9e4c6720a0aa0b2a77fa25b88c81dd3ca	28ffce5aa3f8b613a93e0baa663bea84d3fb3030580ad80690d44443b5cc7a49
SAMN02991390	MOD1_LS1005		SRR1553867	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		774f96efeeb98d4ec30b192622d69338d9798ef7d478226eb8ac2f1bceefef70	f1fce2bb09bc9a860177fc32c87a00cba72a3e8b2216cb2281fc455053866408
SAMN02991392	MOD1_LS1008		SRR1553851	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		661a68e0ce9c7671d5236aee7f8c01d94851248ddc798c0afe2e39d370cc1289	1ae71a70ec8dbce53a1fb70163633a99bc4abcf7d1f21a40ff5c5225937611a0
SAMN02991393	MOD1_LS1009		SRR1553827	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		ceb299f4eefdaf45b1a603cade79d71c1c0b6c1a256a432358739c7b60d22fd1	53660f0710d260f9ebfaf47dcebd66b9c3d51c58d089011a57e0f160534b1864
SAMN02991394	MOD1_LS1011		SRR1553774	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE		da2d694a66cbb47477f54c23cc433b55406fd4eaf2aece6e2420f832f2e0376e	3e84133e1b872c590b0b6c81434630b32c93dafcf17f48f918a7768921fbee13
SAMN02854695	PNUSAL000730		SRR1393979	outgroup	1408MLGX6-3WGS	FALSE		8bd255e69eb3d304c99922562e5b56e9f484d9bec8a3896c40cca799064c3475	bcc216ba76852418eb5de9077126577c95e107167be8416bb59e514fd97040b2
SAMN02950476	PNUSAL000870		SRR1534987		1408MLGX6-3WGS	FALSE		6083e21eb921ca0ce0648d27924878b3bcfb719a2ecd3a334bddb83940f6ae3c	edb5922d07c447f29cc7c511c0ac1ff244114c00e0c3b22fdd120295cf8c916a
