Organism	Listeria monocytogenes								
Outbreak	1408MLGX6-3WGS								
pmid	25789745								
tree	http://api.opentreeoflife.org/v2/study/ot_301/tree/tree2.tre								
source									
dataType	empirical								
									
biosample_acc	strain	genBankAssembly	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumRead1	sha256sumRead2
SAMN01939119	CFSAN002349	GCA_001257675.1	SRR1206159	outgroup	1408MLGX6-3WGS	FALSE	9b926bc0adbea331a0a71f7bf18f6c7a62ebde7dd7a52fabe602ad8b00722c56	c43c41991ad8ed40ffcebbde36dc9011f471dea643fc8f715621a2e336095bf5	4d12ed7e34b2456b8444dd71287cbb83b9c45bd18dc23627af0fbb6014ac0fca
SAMN02854695	PNUSAL000730	-	SRR1393979	outgroup	1408MLGX6-3WGS	FALSE	-	d9a377d64605d955ae85118f5572de13635004c3d377f5366d86236337318d0c	9ba0910aad655e05c2915148efcde2b03a6e31251987b0aa79611bcc890e6211
SAMN02950476	PNUSAL000870	-	SRR1534987	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	6083e21eb921ca0ce0648d27924878b3bcfb719a2ecd3a334bddb83940f6ae3c	edb5922d07c447f29cc7c511c0ac1ff244114c00e0c3b22fdd120295cf8c916a
SAMN02990454	MOD1_LS1004	GCA_001257525.1	SRR1553826	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	aa128be8a56a30c5d4a55196b341c34fb73664e741723417d573f6f338691f15	7e5089166eb3b93a80963df206f75d2c0739bdf318f3a13a89eaf01533c202a7	94e9da477bfa6c02ca22ed7fcc239c8fae93c363a6ca9eeffcfa69d7b88e1487
SAMN02990455	MOD1_LS1006	-	SRR1553773	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	0af517b6258816dc42aa6a94cfda3bbd5a27ca990499f05fd26b33f721aa3cd3	170b447f26139c2d9dfe60065eeba7faca76908e36932905924c8435805aa7bc
SAMN02990456	MOD1_LS1010	GCA_001257505.1	SRR1553821	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	5727b8d883ef850863598d63f533f3e53c68be0e8fa82c06c9e81e768ba251a4	db7b609d66e9a253f4ad54fcc4f62b578562f4368dca56658ecae14effd7811c	7537f0e461d1efdff1f3f15d31cf05b1073d593685103e26e3a56bb44da54d73
SAMN02991375	MOD1_LS982	-	SRR1553739	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	2f86cc8493724942d76df798e353828942b2f2c7c1cf069234823d213825ee56	e0fa60829e6ec443ff680059bbc1edf21223cdb265318d63524d05e82fbbd5ac
SAMN02991377	MOD1_LS985	-	SRR1553882	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	0835e4c50fd4b23dc8b7cc2bd57862d83ad6d07c216923e548cf7f86bdd74d4b	0a3528a4e2aa3a2aade719858ef702dbba459b1c7a7bd49d7c504cd20f2b1b71
SAMN02991378	MOD1_LS989	-	SRR1553856	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	8700b6087a2c36bcc2ca8e370fb340a0a749567ff6f158eae963067f781861cf	748505e11bdcd90d49ff2a2e784724a231668b1009801d7af53ff2cc80ce2084
SAMN02991381	MOD1_LS994	-	SRR1553791	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	530cb2a004bd3d2b3fa390e2ffd92e55c4da3ce773390e74ab3e70028f37de94	6cff309484738b5051db57d2d8617d467e4463e43370de951e3f74004dda4b03
