Organism	Synthetic construct											
Outbreak	simulated based on the tree from Salmonella 1203NYJAP-1 - Tuna Scrape Outbreak											
pmid												
tree	https://tree.opentreeoflife.org/curator/study/edit/ot_301/tre/tree4.tre											
source	Ruth Timme											
dataType	simulated											
intendedUse	benchmark dataset with known phylogeny and SNP locations: data generated using TreeToReads. 250bp, 40X coverage, 150 var sites, S.Bareilly GCA_000439415.1 anchor genome											
												
biosample_acc	strain	genBankAssembly	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumRead1	sha256sumRead2	fileName	voucherContact	
SAMN04335555	SIM_CFSAN000189	GCA_000439415.1	SRR3020612	outgroup	simulated Salmonella outbreak	1	c3202bf0cfe762d5f345c3f258f07a61607e04f49fc2b0cb94818d105d6ba82f	bbcd949d2cfb8b9051b1b298e244c5a6272db7518384213759ec218054dd35dd	78f517a041c216ff074f2a96844d5b809dc392899a68b64ab051e6b014cd3c8c			
SAMN04335556	SIM_CFSAN000191		SRR3020613	outgroup	simulated Salmonella outbreak	0		b9746ecb72d170bf0b28e459ffb5634c4fbb99f5dbdcab28b614b0bdf39d1d18	67df2984c6e161a004fcd2cbd589a9ab11ab458f8edf9120367387c5050a0e0a			
SAMN04335557	SIM_CFSAN000211		SRR3020614	outgroup	simulated Salmonella outbreak	0		fa1533396b8a7c5e74fef68cbd15bd7f3c06f04c26dfddaa94deee5791c3d0fd	abe1b17edf8b56256947da5fbbdde57b3ac67d9b1ec010cbc8fb2bd15f6d844d			
SAMN04335558	SIM_CFSAN000212		SRR3020615	outgroup	simulated Salmonella outbreak	0		6fb6d71c3dbc5de2682c293b5ad1d2ca2b59b4f5e0a8932fd744659d271f6b7e	34d7a7c68a318ce66680afbec5c9793d40aa9fbce04a73b4bc7870481319a3a1			
SAMN04335549	SIM_CFSAN000228		SRR3020616	outgroup	simulated Salmonella outbreak	0		df78a50c305bddf23c39e356fc45d3b8d87214f558031e9d7ac8edff022ed8e4	9e9dd4a1616b12924bd3fd926d4fa3a47bbbdab7573a208ec4a4113a7d73c0fc			
SAMN04335550	SIM_CFSAN000661		SRR3020617	outbreak	simulated Salmonella outbreak	0		a31cc823fae8ffefa165bf2c1da720402e3e90f0e4bf25e3ee1688b6d48b7c2b	f77f7367b6dea9391e0f9696e27cd988a9fa059ac0f6acd0c1cabbf89a269d68			
SAMN04335551	SIM_CFSAN000669		SRR3020618	outbreak	simulated Salmonella outbreak	0		064e4d355647d86e60acbccb18a29db8aa5c27ff84e0741b85b086d8111584c0	647bf9c733b11cbb21a0099e61b16dc38721c6370b13acf573adbe09dc7b7e70			
SAMN04335552	SIM_CFSAN000700		SRR3020619	outbreak	simulated Salmonella outbreak	0		8ef4ac5355066e21668533730c927066937ddf8d7c281ad84faf864e154d96a3	44be056256f6457ca881e1868ba8c375a2870f248ab862436b2fbca1d605fd74			
SAMN04335553	SIM_CFSAN000752		SRR3020620	outbreak	simulated Salmonella outbreak	0		42042e2ab61e7cf56a493823d97052891a991a9f40a50a384269e92780fd23d5	cd38f8a73e46ff74daf0260db06160afdc79c2aff96d84a903a66a3d202e232a			
SAMN04335554	SIM_CFSAN000753		SRR3020621	outbreak	simulated Salmonella outbreak	0		b632ca03a6e462d0a9d378966d10a323dc2bd860ac0e5adf169393447c68d2cc	29b2ffa4fc8f489eafa14bd9d159d11c45d4325aa30563bf9227e2321b2077ea			
SAMN04958151	SIM_CFSAN000951		SRR3479289	outbreak	simulated Salmonella outbreak	0		3d3cc721ad1b7ef238f27bbe97c87d34b71381ee63887a1c8a523b8352c7ba7d	705189f70a611be6c77cf023647c2feb95544437dbb2842bbf9cae0aab7df2f7			
SAMN04335542	SIM_CFSAN000952		SRR3020623	outbreak	simulated Salmonella outbreak	0		343254d2c7705c94898af3e32fc74f289c91d8ac2db17ec199fbd7d239b4890e	254b9a38e528505c0bb96c6c07bd0c825f2b604fa46c7b8936c53ea976668ccc			
SAMN04335543	SIM_CFSAN000954		SRR3020624	outbreak	simulated Salmonella outbreak	0		387b725682ed8a8b46812c932141e0d42da368d68095b4a28407a91ec0c8e272	bd864fd9066ed114764ad16141c80ae9dba45aa487b66ea705b7fb3bd26487e5			
SAMN04335544	SIM_CFSAN000958		SRR3020625	outbreak	simulated Salmonella outbreak	0		ad52d86458fed48dbab9481ec553604727678fa72cdb519159e6b6ff973bd881	a0b725612ad0a79d655fc1df207573d959a8f177971fe53d8fd68c000b886d8a			
SAMN04335545	SIM_CFSAN000960		SRR3020626	outbreak	simulated Salmonella outbreak	0		baae6d9287048e09cc359d8f399dc650918cf0329ad9cb4545d9fab8e81a9031	886262e22f92ad6862bb17f10ca81d1e513f09b2ae9f71258d4201dd244e86bc			
SAMN04335546	SIM_CFSAN000961		SRR3020627	outbreak	simulated Salmonella outbreak	0		29682b172d811fa48dee27b6ee2fb4ba211a2d5bfe084d2f778626963ac98c94	9473d222090a1f121a3cc439aa6648ee163b3faf4ee5a60233b963d6e6785d90			
SAMN04335538	SIM_CFSAN000963		SRR3020628	outbreak	simulated Salmonella outbreak	0		9495b654aa0ff5d4dd37a16afef09f75274bf334ddce3540da9870599516d9ce	a75ace4b246d26ae5f3deac8e3cda428bf34f98a5990c022ea48700ed6a9ee21			
SAMN04335539	SIM_CFSAN000968		SRR3020725	outbreak	simulated Salmonella outbreak	0		9d98a5a83ee159977814f5f6a551f425186389b54f23373c2c98cb45510e6fe7	fa59b0fb774bb3b332644713f4b7d08e1b17b1ea17e720f36c0d4d9786de2d2e			
SAMN04335540	SIM_CFSAN000970		SRR3020726	outbreak	simulated Salmonella outbreak	0		9442b7aea26da6b2be9159d4cc1f8ce7756004a5d5d79cee16ca6e00bfe4bf78	3abaef939f4338fc73c42658f0a72b69b44224ac079257592b7b75fd47e53bc2			
SAMN04335535	SIM_CFSAN001112		SRR3020727	outbreak	simulated Salmonella outbreak	0		26bff846ff491d45fdb53a51de2cf54f071544d068ef0c563314d9f6d9acbb33	41f5ea7bc523d7f3fb03a6636d6c6ea4ea13aa9fdf918114dbb87c5688e01f19			
SAMN04335536	SIM_CFSAN001115		SRR3020728	outbreak	simulated Salmonella outbreak	0		1da72748a0285eaa5daaa7d438d5d86bde61e5e2cc6abbe706d71ce98c49b51e	f53682b9aabd14c0043c3f28531951cc490d09f4dbeeee1fe43a3fbbb9d47e4a			
SAMN04335537	SIM_CFSAN001118		SRR3020729	outbreak	simulated Salmonella outbreak	0		2149ce801a59584948f3840a58b38091aceaa5f90102b6570d9b3a529122c0e1	f19c2b69fdaeafc0314a9f49209da5fc9740a79fb27bff6721fd159f865abe11			
SAMN04335534	SIM_CFSAN001140		SRR3020730	outbreak	simulated Salmonella outbreak	0		b6e82a9602ce0a427a29560bb7a9a1ef0dff4f48e22bb57e2134ac33644a0134	1d27444ae4583fcab6114b7b25185741db766c0fb37643b98add81ca3a6ee345			
